,city,date,polarity,state,text
6,Inniswold,Wed Aug 01 18:49:53 +0000 2018,0.0,LA,@ehover2 @Jason_Tartick Not a want a NEED. Kinda have feelings for joe tho
7,Madeira Beach,Wed Aug 01 14:23:23 +0000 2018,0.0,FL,@PFF_Mike I was hoping to see you on Men Tell All #bachelorette
8,Summit,Wed Aug 01 14:36:00 +0000 2018,0.0,MS,"@coltonsimpson41 #ESKEETET Boy!
#WERK💪🏻
#YEEYEE👏🏻👏🏻👏🏻"
9,Chicago,Wed Aug 01 14:36:23 +0000 2018,0.14583333333333334,IL,Anyone know this guy? Ran into him last night. Clay from The Bachelorette. Such a sweet guy! #thebachelorette… https://t.co/UY4J54If2A
10,Seattle,Wed Aug 01 14:45:06 +0000 2018,0.575,WA,"@lisa_casaine @Jason_Tartick Omg I love Jason, but I love groger Joe more lol."
11,Shenandoah,Wed Aug 01 14:52:48 +0000 2018,0.45,LA,I genuinely might be in love with @Jason_Tartick idk
12,Blasdell,Wed Aug 01 13:07:11 +0000 2018,-0.7142857142857143,NY,@KISS985BUFFALO @Jason_Tartick I’m sick of your lies
13,Amherst,Wed Aug 01 13:14:50 +0000 2018,0.0,NY,9:30am this morning we talk to @Jason_Tartick  from #TheBachelorette - @JanetSnyderKISS @NICKinBUFFALO
14,Chicago,Wed Aug 01 13:20:17 +0000 2018,0.0,IL,this tweet effected my sleep @Jason_Tartick - we went grocery shopping and we shared a sprite out of the bottle. he… https://t.co/gaCEdsBo8y
15,Amherst,Wed Aug 01 13:25:16 +0000 2018,0.0,NY,In 5 minutes we talk with @Jason_Tartick from #TheBachelerotte  - @JanetSnyderKISS @NICKinBUFFALO
16,Amherst,Wed Aug 01 13:32:23 +0000 2018,0.0,NY,@Jason_Tartick Williamsville south &gt; Williamsville east. bye
17,Chicago,Wed Aug 01 13:57:01 +0000 2018,0.0,IL,and @Jason_Tartick it was at WEGMANS 😍
18,Baton Rouge,Wed Aug 01 13:58:20 +0000 2018,0.1953125,LA,Had a dream last night that @leodottavio and I were dating and our first outing as a couple was a Halloween party. There’s still time!!
19,Austin,Wed Aug 01 17:05:09 +0000 2018,0.0,TX,@coltongriffin74 Oh my gosh  I’m in tears 😂😭😂😭
20,Seattle,Wed Aug 01 17:08:00 +0000 2018,0.2833333333333333,WA,"@colton_moore13 this is one hot take lmao, BUT I gotta say something. He’s definitely a legend by the numbers but h… https://t.co/N4WFUKJJq3"
21,Depew,Wed Aug 01 12:31:48 +0000 2018,0.0,NY,9:30am this morning we talk to @Jason_Tartick  from #TheBachelorette . https://t.co/xceaAVVBk1
22,Charlotte,Wed Aug 01 21:16:35 +0000 2018,0.0,NC,Us when Grocery Store Joe went home #thebachelorette
23,Amherst,Wed Aug 01 16:00:35 +0000 2018,0.0,NY,Listening to @erikaetaylor19 @Roser_724 &amp; @cheyguybru talk about @Jason_Tartick and what they think his apartment l… https://t.co/dp20PFRjVK
24,Boardman,Wed Aug 01 16:01:57 +0000 2018,0.13636363636363635,OH,if @Jason_Tartick is the new bachelor.... i’ll be heartbroken
25,Florence,Wed Aug 01 16:06:23 +0000 2018,0.0,KY,@thatonecolton Never know what they'll fav
26,Luling,Wed Aug 01 16:17:34 +0000 2018,-0.625,TX,This was colton when Rabe was smashing boxes and got mad at colton 😂😂😂😂@ColtonHajovsky2 @RabeRobert @tgibs0408
27,Dallas,Wed Aug 01 16:23:09 +0000 2018,0.0,TX,@jpulido1029 @PFF_Mike Or buying the guide
